,SHA,SIN,HKG,ROT,HAM,ANT,LAX,NYK,DXB,COL,MOM,SAO
SHA,0.0,2057.288304224335,663.3430925059321,4820.267977396782,4601.671885329445,4849.275957183503,5646.254217051993,6405.814017247495,3485.273234979441,2750.0408776300005,5111.259821644827,10025.532689786582
SIN,2057.288304224335,0.0,1398.005277639686,5688.349847381469,5478.904299117577,5697.295610830248,7635.519397639664,8285.9405862138,3161.9088464174038,1475.9889550329397,3864.640387067943,8604.112070710391
HKG,663.3430925059321,1398.005277639686,0.0,5036.837874714199,4813.989425966634,5059.75586218971,6302.592597145168,6999.410780320941,3229.2136092822107,2188.7186906857596,4641.717086280063,9726.8820859101
ROT,4820.267977396782,5688.349847381469,5036.837874714199,0.0,222.8612868707568,42.134218949756885,4852.240034622433,3164.0792040474207,2795.8467046914807,4535.769534184327,3808.5067017207807,5277.579879816918
HAM,4601.671885329445,5478.904299117577,4813.989425966634,222.8612868707568,0.0,247.94790045732762,4918.060952613614,3313.1093788346193,2637.8729119711784,4355.032879353425,3766.5611227370937,5491.1076363580005
ANT,4849.275957183503,5697.295610830248,5059.75586218971,42.134218949756885,247.94790045732762,0.0,4879.788694429569,3176.3997863875093,2787.8430031304692,4533.484115179506,3778.300522971192,5245.80580669875
LAX,5646.254217051993,7635.519397639664,6302.592597145168,4852.240034622433,4918.060952613614,4879.788694429569,0.0,2132.917827745455,7261.207492258544,8157.126332893509,8639.979788330938,5368.491888944254
NYK,6405.814017247495,8285.9405862138,6999.410780320941,3164.0792040474207,3313.1093788346193,3176.3997863875093,2132.917827745455,0.0,5950.757745590401,7606.947102911538,6634.33452424997,4176.263268867851
DXB,3485.273234979441,3161.9088464174038,3229.2136092822107,2795.8467046914807,2637.8729119711784,2787.8430031304692,7261.207492258544,5950.757745590401,0.0,1788.8271905268718,1961.3593263844177,6579.075243498812
COL,2750.0408776300005,1475.9889550329397,2188.7186906857596,4535.769534184327,4355.032879353425,4533.484115179506,8157.126332893509,7606.947102911538,1788.8271905268718,0.0,2497.0904533318994,7551.297343902062
MOM,5111.259821644827,3864.640387067943,4641.717086280063,3808.5067017207807,3766.5611227370937,3778.300522971192,8639.979788330938,6634.33452424997,1961.3593263844177,2497.0904533318994,0.0,5085.2555058435455
SAO,10025.532689786582,8604.112070710391,9726.8820859101,5277.579879816918,5491.1076363580005,5245.80580669875,5368.491888944254,4176.263268867851,6579.075243498812,7551.297343902062,5085.2555058435455,0.0
