,SHA,SIN,HKG,ROT,HAM,ANT,LAX,NYK,DXB,COL,MOM,SAO
SHA,0.0,97.96610972496835,31.58776630980629,229.53657035222773,219.1272326347355,230.91790272302396,268.86924843104725,305.0387627260712,165.96539214187814,130.9543275061905,243.39332484022984,477.4063185612658
SIN,97.96610972496835,0.0,66.57167988760409,270.87380225626043,260.9002047198846,271.29979099191655,363.59616179236497,394.5685993435142,150.5670879246383,70.28518833490189,184.030494622283,409.71962241478053
HKG,31.58776630980629,66.57167988760409,0.0,239.84942260543804,229.23759171269688,240.94075534236714,300.12345700691276,333.3052752533781,153.77207663248623,104.22469955646474,221.0341469657173,463.1848612338143
ROT,229.53657035222773,270.87380225626043,239.84942260543804,0.0,10.6124422319408,2.0063913785598517,231.0590492677349,150.67043828797242,133.135557366261,215.98902543734891,181.35746198670384,251.31332761032942
HAM,219.1272326347355,260.9002047198846,229.23759171269688,10.6124422319408,0.0,11.807042878920363,234.1933786958864,157.767113277839,125.61299580815135,207.38251806444882,179.36005346367114,261.4813160170476
ANT,230.91790272302396,271.29979099191655,240.94075534236714,2.0063913785598517,11.807042878920363,0.0,232.37089021093183,151.2571326851195,132.75442872049854,215.88019596092886,179.91907252243772,249.80027650946425
LAX,268.86924843104725,363.59616179236497,300.12345700691276,231.0590492677349,234.1933786958864,232.37089021093183,0.0,101.56751560692642,345.77178534564496,388.4345872806433,411.4276089681399,255.64247090210733
NYK,305.0387627260712,394.5685993435142,333.3052752533781,150.67043828797242,157.767113277839,151.2571326851195,101.56751560692642,0.0,283.36941645668577,362.2355763291209,315.92069163095096,198.86967946989768
DXB,165.96539214187814,150.5670879246383,153.77207663248623,133.135557366261,125.61299580815135,132.75442872049854,345.77178534564496,283.36941645668577,0.0,85.18224716794627,93.39806316116275,313.2892973094672
COL,130.9543275061905,70.28518833490189,104.22469955646474,215.98902543734891,207.38251806444882,215.88019596092886,388.4345872806433,362.2355763291209,85.18224716794627,0.0,118.90906920628092,359.5855878048601
MOM,243.39332484022984,184.030494622283,221.0341469657173,181.35746198670384,179.36005346367114,179.91907252243772,411.4276089681399,315.92069163095096,93.39806316116275,118.90906920628092,0.0,242.1550240877879
SAO,477.4063185612658,409.71962241478053,463.1848612338143,251.31332761032942,261.4813160170476,249.80027650946425,255.64247090210733,198.86967946989768,313.2892973094672,359.5855878048601,242.1550240877879,0.0
